Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Clinton Mola,eng ENG,DF,20.0,3,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,stuttgart
Wahidullah Faghir,dk DEN,FW,18.0,6,0,123.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,3.0,18.0,0.73,0.0,0.73,0.73,0.73,0.26,0.0,0.26,0.26,0.26,Matches,stuttgart
Ömer Faruk Beyaz,tr TUR,"DF,MF",17.0,4,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,stuttgart
Naouirou Ahamada,fr FRA,"MF,DF",19.0,3,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,stuttgart
Enzo Millot,fr FRA,MF,19.0,6,0,53.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,2.0,0.0,1.7,1.7,0.0,1.7,0.0,0.25,0.25,0.0,0.25,Matches,stuttgart
Lilian Egloff,de GER,"MF,DF",18.0,4,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches,stuttgart
Matej Maglica,hr CRO,MF,22.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,stuttgart
Mohamed Sankoh,nl NED,FW,17.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,2.18,2.18,2.18,Matches,stuttgart
Luca Bazzoli,de GER,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,stuttgart
Darko Churlinov,mk MKD,"FW,MF",21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,stuttgart
Suat Serdar,de GER,"MF,FW",24.0,30,27,2218.0,24.6,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,1.4,3.5,43.0,83.0,77.0,0.12,0.0,0.12,0.12,0.12,0.09,0.06,0.14,0.09,0.14,Matches,hertha bsc
Peter Pekarík,sk SVK,DF,34.0,27,26,2234.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,40.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,hertha bsc
Alexander Schwolow,de GER,GK,29.0,25,25,2175.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,hertha bsc
Vladimír Darida,cz CZE,MF,30.0,25,23,1786.0,19.8,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,1.9,1.9,3.4,5.2,15.0,88.0,69.0,0.1,0.25,0.35,0.1,0.35,0.09,0.17,0.26,0.09,0.26,Matches,hertha bsc
Niklas Stark,de GER,DF,26.0,26,22,2031.0,22.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,11.0,59.0,1.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.05,0.04,0.05,Matches,hertha bsc
Lucas Tousart,fr FRA,MF,24.0,30,22,1962.0,21.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,0.9,2.4,30.0,79.0,25.0,0.09,0.0,0.09,0.09,0.09,0.07,0.04,0.11,0.07,0.11,Matches,hertha bsc
Dedryck Boyata,be BEL,DF,30.0,23,22,1898.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.2,1.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,hertha bsc
Marco Richter,de GER,"FW,MF",23.0,30,19,1704.0,18.9,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,3.2,3.2,1.6,4.9,34.0,45.0,97.0,0.26,0.05,0.32,0.26,0.32,0.17,0.09,0.26,0.17,0.26,Matches,hertha bsc
Marvin Plattenhardt,de GER,DF,29.0,21,19,1637.0,18.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,4.3,4.8,32.0,55.0,37.0,0.0,0.16,0.16,0.0,0.16,0.03,0.24,0.26,0.03,0.26,Matches,hertha bsc
Ishak Belfodil,dz ALG,FW,29.0,26,17,1636.0,18.2,5.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,3.7,3.0,2.2,5.2,35.0,34.0,129.0,0.28,0.11,0.39,0.22,0.33,0.21,0.12,0.33,0.16,0.28,Matches,hertha bsc
Maximilian Mittelstädt,de GER,"DF,FW",24.0,24,16,1493.0,16.6,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,2.9,3.2,45.0,65.0,79.0,0.0,0.3,0.3,0.0,0.3,0.02,0.18,0.19,0.02,0.19,Matches,hertha bsc
Stevan Jovetić,me MNE,"FW,MF",31.0,18,13,1017.0,11.3,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,4.4,4.4,1.6,5.9,28.0,47.0,70.0,0.53,0.09,0.62,0.53,0.62,0.39,0.14,0.52,0.39,0.52,Matches,hertha bsc
Marc-Oliver Kempf,de GER,DF,26.0,12,12,1051.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7,0.7,0.5,1.2,9.0,35.0,2.0,0.0,0.09,0.09,0.0,0.09,0.06,0.04,0.1,0.06,0.1,Matches,hertha bsc
Davie Selke,de GER,FW,26.0,25,10,1004.0,11.2,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,4.2,3.4,0.6,4.0,10.0,13.0,50.0,0.36,0.0,0.36,0.27,0.27,0.38,0.05,0.43,0.31,0.36,Matches,hertha bsc
Marcel Lotka,pl POL,GK,20.0,10,9,885.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,hertha bsc
Myziane Maolida,fr FRA,"FW,MF",22.0,14,9,776.0,8.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,26.0,20.0,53.0,0.12,0.12,0.23,0.12,0.23,0.16,0.03,0.18,0.16,0.18,Matches,hertha bsc
Márton Dárdai,de GER,DF,19.0,12,9,755.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,7.0,19.0,2.0,0.0,0.12,0.12,0.0,0.12,0.01,0.02,0.03,0.01,0.03,Matches,hertha bsc
Kevin-Prince Boateng,gh GHA,"MF,FW",34.0,18,8,696.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.5,0.8,0.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,hertha bsc
Jurgen Ekkelenkamp,nl NED,"MF,FW",21.0,21,6,718.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,9.0,24.0,48.0,0.38,0.0,0.38,0.38,0.38,0.19,0.05,0.24,0.19,0.24,Matches,hertha bsc
Linus Gechter,de GER,DF,17.0,13,6,716.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,7.0,28.0,2.0,0.13,0.0,0.13,0.13,0.13,0.07,0.03,0.1,0.07,0.1,Matches,hertha bsc
Deyovaisio Zeefuik,nl NED,DF,23.0,11,6,565.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,15.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,hertha bsc
Jordan Torunarigha,de GER,DF,23.0,7,6,483.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,1.0,12.0,0.0,0.0,0.19,0.19,0.0,0.19,0.05,0.01,0.06,0.05,0.06,Matches,hertha bsc
