Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Lucas Pérez,es ESP,"FW,MF",32.0,15,11,1060.0,11.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.3,3.3,3.7,7.0,17.0,41.0,61.0,0.25,0.17,0.42,0.25,0.42,0.28,0.31,0.59,0.28,0.59,Matches,cadiz
Oussama Idrissi,ma MAR,MF,25.0,12,11,902.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.8,3.8,37.0,35.0,83.0,0.1,0.1,0.2,0.1,0.2,0.2,0.18,0.38,0.2,0.38,Matches,cadiz
Cala,es ESP,DF,31.0,14,10,947.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.7,0.7,0.5,1.2,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches,cadiz
Fede San Emeterio,es ESP,MF,24.0,12,10,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,cadiz
Alberto Perea,es ESP,MF,30.0,18,8,777.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.6,1.4,32.0,53.0,72.0,0.0,0.12,0.12,0.0,0.12,0.1,0.07,0.16,0.1,0.16,Matches,cadiz
Santiago Arzamendia,py PAR,MF,23.0,14,5,469.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,9.0,3.0,23.0,0.19,0.0,0.19,0.19,0.19,0.04,0.01,0.05,0.04,0.05,Matches,cadiz
Chapela,es ESP,"MF,FW",22.0,9,4,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,cadiz
José Mari,es ESP,MF,33.0,11,4,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.0,0.4,8.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,cadiz
Milutin Osmajić,me MNE,"FW,MF",22.0,10,2,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,cadiz
Álvaro Bastida,es ESP,MF,17.0,6,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cadiz
