Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Gaëtan Laborde,fr FRA,FW,27.0,34,32,2729.0,30.3,12.0,8.0,20.0,10.0,2.0,2.0,1.0,0.0,14.9,13.3,5.1,18.4,38.0,54.0,211.0,0.4,0.26,0.66,0.33,0.59,0.49,0.17,0.66,0.44,0.61,Matches,rennes
Warmed Omari,fr FRA,DF,21.0,34,31,2796.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.2,0.7,23.0,111.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,rennes
Nayef Aguerd,ma MAR,DF,25.0,31,31,2735.0,30.4,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.1,2.1,0.3,2.4,11.0,101.0,1.0,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08,Matches,rennes
Baptiste Santamaria,fr FRA,"MF,DF",26.0,34,28,2518.0,28.0,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,0.9,2.7,19.0,133.0,37.0,0.07,0.04,0.11,0.07,0.11,0.07,0.03,0.1,0.07,0.1,Matches,rennes
Alfred Gomis,sn SEN,GK,27.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rennes
Flavien Tait,fr FRA,MF,28.0,28,24,2125.0,23.6,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,2.6,2.6,2.9,5.5,67.0,189.0,79.0,0.21,0.13,0.34,0.21,0.34,0.11,0.12,0.23,0.11,0.23,Matches,rennes
Jonas Martin,fr FRA,MF,31.0,29,24,2105.0,23.4,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.2,1.2,1.3,2.5,8.0,132.0,14.0,0.04,0.04,0.09,0.04,0.09,0.05,0.06,0.11,0.05,0.11,Matches,rennes
Lovro Majer,hr CRO,"MF,FW",23.0,29,21,1832.0,20.4,6.0,8.0,14.0,6.0,0.0,0.0,1.0,0.0,5.3,5.3,5.2,10.6,77.0,147.0,126.0,0.29,0.39,0.69,0.29,0.69,0.26,0.26,0.52,0.26,0.52,Matches,rennes
Birger Meling,no NOR,DF,26.0,31,20,1829.0,20.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.9,2.2,37.0,87.0,92.0,0.0,0.2,0.2,0.0,0.2,0.01,0.09,0.11,0.01,0.11,Matches,rennes
Adrien Truffert,fr FRA,DF,19.0,30,18,1639.0,18.2,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.8,1.8,2.0,3.8,66.0,84.0,118.0,0.16,0.11,0.27,0.16,0.27,0.1,0.11,0.21,0.1,0.21,Matches,rennes
Doğan Alemdar,tr TUR,GK,18.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rennes
Kamaldeen Sulemana,gh GHA,"MF,FW",19.0,20,11,1015.0,11.3,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.3,2.3,1.9,4.2,56.0,42.0,96.0,0.35,0.18,0.53,0.35,0.53,0.2,0.17,0.37,0.2,0.37,Matches,rennes
Loïc Bade,fr FRA,DF,21.0,14,11,985.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.5,0.8,8.0,45.0,3.0,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.07,0.03,0.07,Matches,rennes
Sehrou Guirassy,gn GUI,FW,25.0,37,7,1016.0,11.3,9.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,8.1,8.1,0.4,8.5,8.0,23.0,86.0,0.8,0.0,0.8,0.8,0.8,0.72,0.03,0.75,0.72,0.75,Matches,rennes
Lorenz Assignon,tg TOG,DF,21.0,20,5,616.0,6.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.1,1.9,19.0,27.0,45.0,0.0,0.29,0.29,0.0,0.29,0.11,0.17,0.27,0.11,0.27,Matches,rennes
Jeremy Doku,be BEL,"FW,MF",19.0,14,4,469.0,5.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.7,2.4,32.0,30.0,43.0,0.19,0.38,0.58,0.19,0.58,0.13,0.32,0.45,0.13,0.45,Matches,rennes
Chimuanya Ugochukwu,fr FRA,MF,17.0,18,3,405.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,3.0,12.0,7.0,0.22,0.0,0.22,0.22,0.22,0.07,0.14,0.21,0.07,0.21,Matches,rennes
Eduardo Camavinga,fr FRA,MF,18.0,4,1,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,rennes
Matthis Abline,fr FRA,FW,18.0,7,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,rennes
Romain Salin,fr FRA,GK,37.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rennes
Loum Tchaouna,fr FRA,"FW,MF",17.0,10,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.41,0.26,0.41,Matches,rennes
Mathys Tel,fr FRA,"FW,MF",16.0,7,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.37,0.11,0.48,0.37,0.48,Matches,rennes
Romain Del Castillo,fr FRA,"MF,FW",25.0,3,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.69,0.27,0.96,0.69,0.96,Matches,rennes
Andy Diouf,fr FRA,MF,18.0,5,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,1.97,0.0,1.97,Matches,rennes
Jeanöel Belocian,fr FRA,DF,16.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,rennes
Pépé Bonet,fr FRA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,rennes
Elias Damergy,tn TUN,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,rennes
Désiré Doué,fr FRA,FW,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,rennes
Jean-Clair Todibo,fr FRA,DF,21.0,36,35,3115.0,34.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,1.0,3.6,33.0,174.0,8.0,0.03,0.0,0.03,0.03,0.03,0.08,0.03,0.1,0.08,0.1,Matches,nice
Dante,br BRA,DF,37.0,34,33,2870.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.5,0.5,1.0,1.5,13.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches,nice
