Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Julien Dacosta,fr FRA,"DF,MF",25.0,11,5,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,portimonense
Luquinha,br BRA,"MF,FW",20.0,20,3,552.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.0,2.4,17.0,37.0,32.0,0.16,0.0,0.16,0.16,0.16,0.22,0.16,0.38,0.22,0.38,Matches,portimonense
Sana Gomes,gw GNB,DF,19.0,8,3,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,portimonense
Renato Junior,br BRA,FW,19.0,12,3,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.4,1.8,3.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.37,0.1,0.47,0.37,0.47,Matches,portimonense
Beto,gw GNB,FW,23.0,3,3,267.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.0,1.4,4.0,2.0,14.0,0.67,0.0,0.67,0.67,0.67,0.45,0.01,0.46,0.45,0.46,Matches,portimonense
Achraf Lazaar,ma MAR,DF,29.0,4,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,portimonense
Ricardo Matos,pt POR,"FW,MF",21.0,5,3,221.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,0.0,6.0,8.0,0.41,0.0,0.41,0.41,0.41,0.42,0.23,0.65,0.42,0.65,Matches,portimonense
Kosuke Nakamura,jp JPN,GK,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Payam Niazmand,ir IRN,GK,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Giannelli Imbula,cd COD,"MF,FW",28.0,9,1,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.37,0.07,0.37,Matches,portimonense
Abraham Marcus,ng NGA,FW,21.0,3,1,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,Matches,portimonense
Bruno Reis,pt POR,MF,22.0,2,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Adewele Sapara,ng NGA,"MF,DF",26.0,4,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.16,0.07,0.23,0.16,0.23,Matches,portimonense
Jeferson Santos,br BRA,MF,29.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Diogo Costa Rodrigues,pt POR,MF,21.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Paulo Estrela Moreira,pt POR,MF,22.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,portimonense
Ricardo Abel Barbosa Ferreira,pt POR,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,portimonense
Pedro Oliveira Casagrande,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,portimonense
Samu,pt POR,MF,25.0,30,27,2466.0,27.4,4.0,3.0,7.0,4.0,0.0,0.0,7.0,1.0,3.7,3.7,3.8,7.5,40.0,165.0,111.0,0.15,0.11,0.26,0.15,0.26,0.14,0.14,0.27,0.14,0.27,Matches,vizela
Claudemir de Souza,br BRA,MF,33.0,26,24,2007.0,22.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,1.4,1.7,12.0,102.0,29.0,0.0,0.04,0.04,0.0,0.04,0.01,0.06,0.08,0.01,0.08,Matches,vizela
Koffi Kouao,ci CIV,DF,23.0,24,21,1889.0,21.0,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,0.8,0.8,2.0,2.8,38.0,51.0,95.0,0.1,0.05,0.14,0.1,0.14,0.04,0.1,0.13,0.04,0.13,Matches,vizela
Richard Ofori,gh GHA,DF,28.0,26,20,1709.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.1,0.1,0.6,0.6,35.0,75.0,56.0,0.0,0.05,0.05,0.0,0.05,0.0,0.03,0.03,0.0,0.03,Matches,vizela
Cassiano,br BRA,FW,32.0,25,20,1589.0,17.7,7.0,2.0,9.0,6.0,1.0,1.0,6.0,1.0,6.8,6.0,1.4,7.4,26.0,19.0,86.0,0.4,0.11,0.51,0.34,0.45,0.39,0.08,0.47,0.34,0.42,Matches,vizela
Guilherme Schettine,br BRA,FW,25.0,28,19,1517.0,16.9,8.0,0.0,8.0,7.0,1.0,1.0,4.0,1.0,6.9,6.1,1.8,7.9,34.0,54.0,85.0,0.47,0.0,0.47,0.42,0.42,0.41,0.11,0.52,0.36,0.47,Matches,vizela
Christian Neiva Afonso,pt POR,DF,26.0,25,18,1789.0,19.9,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,2.3,3.6,28.0,74.0,71.0,0.0,0.15,0.15,0.0,0.15,0.07,0.11,0.18,0.07,0.18,Matches,vizela
Marcos Paulo,br BRA,MF,33.0,25,18,1694.0,18.8,3.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,2.5,1.7,0.9,2.7,14.0,74.0,42.0,0.16,0.0,0.16,0.11,0.11,0.13,0.05,0.18,0.09,0.14,Matches,vizela
Nuno Gonçalo Moreira,pt POR,FW,22.0,30,18,1688.0,18.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.6,3.6,4.1,7.7,45.0,85.0,145.0,0.05,0.05,0.11,0.05,0.11,0.19,0.22,0.41,0.19,0.41,Matches,vizela
Pedro José Moreira Silva,pt POR,GK,24.0,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Anderson Jesus,br BRA,DF,26.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.4,1.0,1.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,vizela
Alexis Méndez,us USA,"MF,FW",20.0,26,17,1451.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,16.0,63.0,49.0,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12,Matches,vizela
Bruno Wilson,pt POR,DF,24.0,17,16,1422.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,0.0,1.8,9.0,47.0,1.0,0.06,0.0,0.06,0.06,0.06,0.11,0.0,0.11,0.11,0.11,Matches,vizela
Ivanildo Fernandes,cv CPV,DF,25.0,17,16,1362.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.1,0.7,6.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,vizela
Mohamed Aidara,ci CIV,DF,24.0,18,14,1350.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,1.2,1.0,9.0,1.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,Matches,vizela
Charles,br BRA,GK,27.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Igor Julião,br BRA,DF,26.0,13,12,996.0,11.1,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.9,1.1,18.0,31.0,28.0,0.0,0.27,0.27,0.0,0.27,0.02,0.08,0.1,0.02,0.1,Matches,vizela
Kévin Zohi,ml MLI,FW,24.0,25,8,826.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.2,2.2,0.3,2.5,12.0,20.0,50.0,0.0,0.11,0.11,0.0,0.11,0.24,0.03,0.27,0.24,0.27,Matches,vizela
Raphael Guzzo,pt POR,MF,26.0,24,7,822.0,9.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,0.8,3.4,6.0,57.0,35.0,0.22,0.11,0.33,0.22,0.33,0.28,0.09,0.37,0.28,0.37,Matches,vizela
Osama Rashid,iq IRQ,MF,29.0,11,7,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.0,6.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,Matches,vizela
Hugues Zagbayou,ci CIV,MF,31.0,9,6,386.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,15.0,6.0,0.0,0.23,0.23,0.0,0.23,0.01,0.09,0.1,0.01,0.1,Matches,vizela
Francis Cann,gh GHA,"FW,MF",23.0,10,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches,vizela
Andrés Sarmiento,co COL,FW,23.0,9,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.24,0.04,0.28,0.24,0.28,Matches,vizela
Ivo Gonçalves,pt POR,GK,37.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Alejandro Alvarado Jr.,us USA,"MF,FW",18.0,4,1,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Emmanuel Maviram,ng NGA,DF,20.0,1,1,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Tomás Costa Silva,pt POR,"FW,MF",21.0,5,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,Matches,vizela
Guo Tianyu,cn CHN,FW,22.0,3,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.37,0.04,0.42,0.37,0.42,Matches,vizela
Friday Etim,ng NGA,"FW,MF",19.0,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Hugo Oliveira,pt POR,DF,19.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vizela
Emmanuel Adeyemo,ng NGA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,vizela
