Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Rami Kaib,tn TUN,DF,24.0,23,22,1858.0,20.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.4,2.4,56.0,72.0,108.0,0.0,0.05,0.05,0.0,0.05,0.05,0.07,0.12,0.05,0.12,Matches,heerenveen
Nicolas Madsen,dk DEN,MF,21.0,25,20,1672.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,32.0,82.0,23.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08,Matches,heerenveen
Erwin Mulder,nl NED,GK,32.0,19,19,1665.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,heerenveen
Nick Bakker,nl NED,DF,29.0,19,18,1634.0,18.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.1,2.4,12.0,41.0,2.0,0.11,0.06,0.17,0.11,0.17,0.07,0.06,0.13,0.07,0.13,Matches,heerenveen
Siem de Jong,nl NED,"FW,MF",32.0,27,18,1384.0,15.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.6,4.9,8.0,43.0,86.0,0.0,0.07,0.07,0.0,0.07,0.15,0.17,0.32,0.15,0.32,Matches,heerenveen
Henk Veerman,nl NED,FW,28.0,20,17,1558.0,17.3,7.0,0.0,7.0,5.0,2.0,2.0,0.0,0.0,8.1,6.6,1.9,8.4,8.0,28.0,88.0,0.4,0.0,0.4,0.29,0.29,0.47,0.11,0.58,0.38,0.49,Matches,heerenveen
Joey Veerman,nl NED,MF,22.0,18,17,1519.0,16.9,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,0.8,0.8,4.8,5.6,22.0,153.0,35.0,0.18,0.36,0.53,0.18,0.53,0.05,0.29,0.33,0.05,0.33,Matches,heerenveen
Lucas Woudenberg,nl NED,DF,27.0,19,16,1499.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,13.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,heerenveen
Xavier Mous,nl NED,GK,25.0,16,15,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,heerenveen
Anthony Musaba,nl NED,"FW,MF",20.0,29,15,1316.0,14.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,5.4,5.4,1.9,7.3,80.0,15.0,134.0,0.07,0.07,0.14,0.07,0.14,0.37,0.13,0.5,0.37,0.5,Matches,heerenveen
