Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Reece Burke,eng ENG,DF,24.0,27,25,2115.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.3,1.3,0.5,1.8,24.0,87.0,19.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.08,0.05,0.08,Matches,luton town
Sonny Bradley,eng ENG,DF,29.0,22,20,1770.0,19.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.8,0.8,1.2,2.0,4.0,31.0,4.0,0.1,0.0,0.1,0.1,0.1,0.04,0.06,0.1,0.04,0.1,Matches,luton town
Simon Sluga,hr CRO,GK,28.0,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,luton town
Jordan Clark,eng ENG,"MF,FW",27.0,25,19,1687.0,18.7,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,2.5,4.4,30.0,75.0,67.0,0.11,0.16,0.27,0.11,0.27,0.1,0.14,0.23,0.1,0.23,Matches,luton town
James Shea,eng ENG,GK,30.0,19,19,1664.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,luton town
Henri Lansbury,eng ENG,MF,30.0,34,18,1949.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.8,0.8,2.3,3.1,7.0,116.0,16.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,Matches,luton town
Gabriel Osho,eng ENG,"DF,MF",22.0,23,16,1405.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.8,1.4,4.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,luton town
Fred Onyedinma,eng ENG,"FW,DF",24.0,29,14,1539.0,17.1,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,3.6,3.6,4.2,7.8,46.0,21.0,78.0,0.18,0.23,0.41,0.18,0.41,0.21,0.24,0.46,0.21,0.46,Matches,luton town
Cameron Jerome,eng ENG,FW,34.0,31,14,1352.0,15.0,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,2.3,7.3,19.0,21.0,84.0,0.2,0.33,0.53,0.2,0.53,0.33,0.15,0.48,0.33,0.48,Matches,luton town
Luke Berry,eng ENG,MF,29.0,13,10,709.0,7.9,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,2.9,2.9,0.4,3.3,6.0,19.0,17.0,0.76,0.25,1.02,0.76,1.02,0.37,0.05,0.42,0.37,0.42,Matches,luton town
Dan Potts,eng ENG,DF,27.0,10,9,739.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,4.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,luton town
Peter Kioso,cd COD,"DF,FW",22.0,16,8,753.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,0.9,1.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,luton town
Glen Rea,ie IRL,"MF,DF",26.0,12,8,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.0,0.8,3.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,luton town
Admiral Muskwe,zw ZIM,"FW,MF",22.0,20,7,842.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.3,2.3,0.2,2.5,17.0,9.0,31.0,0.0,0.11,0.11,0.0,0.11,0.24,0.02,0.26,0.24,0.26,Matches,luton town
Danny Hylton,eng ENG,"FW,MF",32.0,17,5,592.0,6.6,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,2.6,2.6,0.1,2.7,8.0,12.0,41.0,0.61,0.0,0.61,0.61,0.61,0.4,0.01,0.41,0.4,0.41,Matches,luton town
Robert Snodgrass,sct SCO,MF,33.0,8,4,413.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.3,1.6,3.0,8.0,7.0,0.0,0.22,0.22,0.0,0.22,0.06,0.28,0.34,0.06,0.34,Matches,luton town
Jed Steer,eng ENG,GK,28.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,luton town
Carlos Mendes Gomes,es ESP,"FW,MF",22.0,9,2,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,8.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,Matches,luton town
Matt Ingram,eng ENG,GK,27.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,luton town
Alex Palmer,eng ENG,GK,24.0,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.08,0.08,0.0,0.08,Matches,luton town
Harvey Isted,eng ENG,GK,24.0,2,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,luton town
Aidan Francis,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,luton town
Jameson Horlick,,GK,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,luton town
Elliot Lee,eng ENG,"FW,MF",26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,luton town
Dion Pereira,eng ENG,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,luton town
Marcus Tavernier,eng ENG,"MF,DF",22.0,44,43,3903.0,43.4,5.0,5.0,10.0,5.0,0.0,0.0,7.0,0.0,7.4,7.4,8.4,15.8,113.0,178.0,215.0,0.12,0.12,0.23,0.12,0.23,0.17,0.19,0.36,0.17,0.36,Matches,middlesbrough
Paddy McNair,nir NIR,"DF,MF",26.0,42,42,3762.0,41.8,5.0,3.0,8.0,3.0,2.0,3.0,10.0,1.0,5.2,2.8,3.6,6.4,67.0,217.0,40.0,0.12,0.07,0.19,0.07,0.14,0.12,0.09,0.21,0.07,0.15,Matches,middlesbrough
Matt Crooks,eng ENG,MF,27.0,40,40,3484.0,38.7,10.0,2.0,12.0,10.0,0.0,0.0,15.0,1.0,9.2,9.2,3.4,12.6,66.0,203.0,151.0,0.26,0.05,0.31,0.26,0.31,0.24,0.09,0.33,0.24,0.33,Matches,middlesbrough
Isaiah Jones,eng ENG,DF,22.0,42,36,3268.0,36.3,1.0,9.0,10.0,1.0,0.0,0.0,11.0,0.0,3.1,3.1,7.7,10.8,145.0,106.0,262.0,0.03,0.25,0.28,0.03,0.28,0.08,0.21,0.3,0.08,0.3,Matches,middlesbrough
Joe Lumley,eng ENG,GK,26.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,middlesbrough
