Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Saúl Ñíguez,es ESP,"FW,MF",26.0,2.2,0,0,0,2,2,1,5,0,2,0.0,0.0,0,12.0,6.0,3.0,66.7,Matches,atletico madrid
Javier Serrano,es ESP,MF,18.0,0.8,1,1,0,4,1,0,0,3,1,0.0,0.0,0,4.0,4.0,1.0,80.0,Matches,atletico madrid
Daniel Wass,dk DEN,"DF,FW",32.0,0.5,1,0,0,1,1,1,2,0,0,0.0,0.0,0,4.0,0.0,2.0,0.0,Matches,atletico madrid
Carlos Martín,es ESP,DF,19.0,0.1,1,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Matches,atletico madrid
Yassine Bounou,ma MAR,GK,30.0,31.0,2,0,0,0,3,0,0,0,0,0.0,0.0,0,29.0,7.0,1.0,87.5,Matches,sevilla
Jules Koundé,fr FRA,DF,22.0,30.4,2,2,0,15,28,2,18,21,17,1.0,0.0,0,199.0,77.0,49.0,61.1,Matches,sevilla
Joan Jordán,es ESP,MF,27.0,27.9,9,0,0,54,26,1,23,30,30,0.0,0.0,0,185.0,11.0,23.0,32.4,Matches,sevilla
Marcos Acuña,ar ARG,DF,29.0,25.1,10,0,0,38,48,0,178,14,29,0.0,1.0,0,173.0,22.0,32.0,40.7,Matches,sevilla
Ivan Rakitić,hr CRO,MF,33.0,24.2,5,0,0,36,35,0,83,23,22,0.0,0.0,0,149.0,37.0,30.0,55.2,Matches,sevilla
Lucas Ocampos,ar ARG,FW,27.0,23.6,7,0,0,45,41,2,63,9,24,0.0,1.0,0,114.0,27.0,30.0,47.4,Matches,sevilla
Fernando,br BRA,"MF,DF",34.0,20.6,6,0,0,16,11,1,1,29,17,0.0,0.0,0,131.0,35.0,45.0,43.8,Matches,sevilla
Jesús Navas,es ESP,DF,35.0,19.8,4,0,0,5,10,2,112,17,13,0.0,0.0,0,106.0,13.0,19.0,40.6,Matches,sevilla
Papu Gómez,ar ARG,"FW,MF",33.0,19.8,4,0,0,21,48,1,57,7,11,0.0,0.0,0,80.0,10.0,20.0,33.3,Matches,sevilla
Rafa Mir,es ESP,FW,24.0,20.1,6,0,0,32,18,23,9,0,3,0.0,0.0,0,49.0,58.0,52.0,52.7,Matches,sevilla
Thomas Delaney,dk DEN,MF,29.0,17.2,4,1,1,26,21,1,14,13,24,0.0,0.0,0,82.0,55.0,35.0,61.1,Matches,sevilla
Youssef En-Nesyri,ma MAR,FW,24.0,14.2,1,0,0,11,10,18,5,4,5,1.0,0.0,0,28.0,45.0,51.0,46.9,Matches,sevilla
Gonzalo Montiel,ar ARG,DF,24.0,11.8,7,0,0,9,12,4,33,10,4,0.0,0.0,0,68.0,10.0,7.0,58.8,Matches,sevilla
Jesús Corona,mx MEX,"FW,DF",28.0,12.9,2,0,0,11,27,7,52,8,7,0.0,0.0,0,64.0,7.0,13.0,35.0,Matches,sevilla
Karim Rekik,nl NED,DF,26.0,12.2,2,0,0,16,8,1,6,9,8,0.0,0.0,0,65.0,23.0,22.0,51.1,Matches,sevilla
Óliver Torres,es ESP,"MF,FW",26.0,11.2,2,0,0,17,17,2,25,6,12,0.0,0.0,0,89.0,5.0,19.0,20.8,Matches,sevilla
Érik Lamela,ar ARG,"FW,MF",29.0,11.3,5,0,0,21,13,5,15,5,18,0.0,0.0,0,54.0,10.0,12.0,45.5,Matches,sevilla
Nemanja Gudelj,rs SRB,"DF,MF",29.0,11.6,5,0,0,15,9,0,0,22,7,0.0,0.0,0,73.0,29.0,8.0,78.4,Matches,sevilla
Ludwig Augustinsson,se SWE,"DF,FW",27.0,8.8,3,0,0,13,10,0,47,5,14,0.0,0.0,0,41.0,15.0,7.0,68.2,Matches,sevilla
Anthony Martial,fr FRA,"FW,MF",25.0,5.4,1,0,0,5,11,0,6,0,1,0.0,0.0,0,7.0,6.0,9.0,40.0,Matches,sevilla
Marko Dmitrović,rs SRB,GK,29.0,6.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,18.0,1.0,0.0,100.0,Matches,sevilla
Suso,es ESP,FW,27.0,4.3,0,0,0,1,7,2,12,0,3,0.0,0.0,0,13.0,0.0,2.0,0.0,Matches,sevilla
Munir El Haddadi,ma MAR,"FW,MF",25.0,5.3,3,0,0,7,13,3,6,5,4,0.0,0.0,0,23.0,8.0,16.0,33.3,Matches,sevilla
