Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Ricardo Esgaio,pt POR,"DF,MF",28.0,16.3,7.0,0.0,0.0,34.0,2.0,6.0,54.0,14.0,27.0,0.0,0.0,0.0,76.0,12.0,17.0,41.4,Matches,sporting cp
Zouhair Feddal,ma MAR,DF,32.0,11.2,5.0,0.0,0.0,15.0,3.0,1.0,3.0,12.0,5.0,0.0,0.0,0.0,41.0,20.0,8.0,71.4,Matches,sporting cp
Manuel Ugarte Ribeiro,uy URU,MF,20.0,12.3,4.0,0.0,0.0,34.0,33.0,0.0,2.0,29.0,24.0,1.0,0.0,0.0,116.0,8.0,7.0,53.3,Matches,sporting cp
Rúben Vinagre,pt POR,"DF,MF",22.0,6.0,2.0,0.0,0.0,8.0,9.0,0.0,38.0,6.0,9.0,0.0,0.0,0.0,36.0,3.0,4.0,42.9,Matches,sporting cp
Daniel Bragança,pt POR,MF,22.0,8.7,4.0,1.0,0.0,25.0,22.0,0.0,6.0,17.0,15.0,0.0,0.0,0.0,65.0,11.0,5.0,68.8,Matches,sporting cp
Marcus Edwards,eng ENG,"MF,FW",22.0,5.8,1.0,0.0,0.0,10.0,18.0,0.0,19.0,1.0,4.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,Matches,sporting cp
Islam Slimani,dz ALG,FW,33.0,4.8,1.0,0.0,0.0,9.0,3.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,10.0,16.0,38.5,Matches,sporting cp
Jovane Cabral,cv CPV,"MF,FW",23.0,3.8,1.0,0.0,0.0,8.0,6.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,12.0,2.0,6.0,25.0,Matches,sporting cp
Bruno Tabata,,"FW,MF",24.0,4.5,1.0,1.0,0.0,5.0,15.0,1.0,28.0,3.0,11.0,1.0,0.0,0.0,33.0,2.0,12.0,14.3,Matches,sporting cp
Gonçalo Esteves,pt POR,"DF,FW",17.0,1.6,2.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,,Matches,sporting cp
Nuno Mendes,pt POR,DF,19.0,1.3,1.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,9.0,1.0,0.0,100.0,Matches,sporting cp
