Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Dennis Vos,nl NED,DF,19.0,0.5,0,0,0,0,0,0,0,0,2,0.0,0.0,0,5.0,0.0,0.0,,Matches,psv eindhoven
Richy Ledezma,us USA,"MF,FW",20.0,0.4,0,0,0,1,3,0,0,1,0,0.0,0.0,0,6.0,0.0,0.0,,Matches,psv eindhoven
Johan Bakayoko,be BEL,FW,18.0,0.4,0,0,0,0,1,0,1,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,psv eindhoven
Jenson Seelt,nl NED,DF,18.0,0.2,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches,psv eindhoven
Fredrik Oppegard,no NOR,DF,18.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,psv eindhoven
Orkun Kökçü,tr TUR,MF,20.0,29.2,5,0,0,23,38,1,181,15,28,0.0,0.0,0,219.0,16.0,33.0,32.7,Matches,feyenoord
Guus Til,nl NED,MF,23.0,28.6,2,0,0,34,30,6,19,15,24,1.0,0.0,0,103.0,39.0,34.0,53.4,Matches,feyenoord
Marcos Senesi,ar ARG,DF,24.0,28.3,4,0,0,26,15,0,9,52,40,0.0,0.0,1,251.0,81.0,38.0,68.1,Matches,feyenoord
Gernot Trauner,at AUT,DF,29.0,29.2,0,0,0,19,11,0,1,42,33,0.0,0.0,0,227.0,115.0,49.0,70.1,Matches,feyenoord
Luis Sinisterra,co COL,FW,22.0,26.7,1,0,0,23,43,10,18,17,28,0.0,0.0,0,162.0,56.0,51.0,52.3,Matches,feyenoord
Fredrik Aursnes,no NOR,MF,25.0,27.6,6,0,0,16,18,1,54,35,34,0.0,0.0,0,263.0,45.0,34.0,57.0,Matches,feyenoord
Bryan Linssen,nl NED,FW,30.0,24.0,3,0,0,45,10,21,23,10,13,0.0,0.0,0,52.0,35.0,50.0,41.2,Matches,feyenoord
Marcus Pedersen,no NOR,DF,21.0,22.0,1,0,0,10,6,3,86,19,13,0.0,0.0,0,140.0,4.0,16.0,20.0,Matches,feyenoord
Justin Bijlow,nl NED,GK,23.0,22.0,0,0,0,0,4,0,0,1,0,0.0,0.0,0,41.0,2.0,0.0,100.0,Matches,feyenoord
Jens Toornstra,nl NED,"MF,FW",32.0,19.9,4,0,0,22,7,3,71,27,17,0.0,0.0,0,137.0,5.0,22.0,18.5,Matches,feyenoord
Lutsharel Geertruida,nl NED,DF,21.0,19.1,3,0,0,9,25,1,6,16,22,0.0,0.0,0,133.0,17.0,15.0,53.1,Matches,feyenoord
