Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Baptiste Santamaria,fr FRA,"MF,DF",26.0,28.0,7,0,0,35,21,0,15,33,27,0.0,1.0,0,156.0,74.0,41.0,64.3,Matches,rennes
Alfred Gomis,sn SEN,GK,27.0,25.0,1,0,0,1,3,0,0,1,0,0.0,1.0,0,29.0,4.0,0.0,100.0,Matches,rennes
Flavien Tait,fr FRA,MF,28.0,23.6,3,0,0,30,48,3,9,19,19,1.0,0.0,0,150.0,8.0,14.0,36.4,Matches,rennes
Jonas Martin,fr FRA,MF,31.0,23.4,8,0,0,32,14,0,3,22,20,0.0,0.0,0,147.0,20.0,15.0,57.1,Matches,rennes
Lovro Majer,hr CRO,"MF,FW",23.0,20.4,1,0,0,35,32,1,85,11,21,0.0,0.0,0,140.0,3.0,10.0,23.1,Matches,rennes
Birger Meling,no NOR,DF,26.0,20.3,3,0,0,14,21,2,25,22,27,0.0,0.0,0,94.0,14.0,17.0,45.2,Matches,rennes
Adrien Truffert,fr FRA,DF,19.0,18.2,4,0,0,24,20,0,47,19,21,1.0,1.0,0,91.0,16.0,27.0,37.2,Matches,rennes
Doğan Alemdar,tr TUR,GK,18.0,12.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,18.0,1.0,0.0,100.0,Matches,rennes
Kamaldeen Sulemana,gh GHA,"MF,FW",19.0,11.3,3,0,0,19,14,3,28,4,12,0.0,0.0,0,45.0,5.0,3.0,62.5,Matches,rennes
Loïc Bade,fr FRA,DF,21.0,10.9,3,1,1,6,1,0,2,12,5,0.0,0.0,0,61.0,25.0,18.0,58.1,Matches,rennes
Sehrou Guirassy,gn GUI,FW,25.0,11.3,1,0,0,21,35,5,1,1,2,0.0,0.0,0,30.0,37.0,34.0,52.1,Matches,rennes
