Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Kevin Kampl,si SVN,MF,30.0,21.1,4,0,0,36,12,0,8,24,19,0,1,0,155,8,12,40.0,Matches,rb leipzig
André Silva,pt POR,FW,25.0,23.1,1,0,0,20,28,16,7,2,9,0,0,0,66,37,65,36.3,Matches,rb leipzig
Mohamed Simakan,fr FRA,DF,21.0,22.3,5,0,0,25,34,0,6,40,27,0,0,0,159,63,21,75.0,Matches,rb leipzig
Nordi Mukiele,fr FRA,"DF,FW",23.0,20.5,3,0,0,19,25,8,34,31,22,1,1,0,125,47,23,67.1,Matches,rb leipzig
Emil Forsberg,se SWE,MF,29.0,19.0,2,0,0,11,22,4,38,2,12,0,0,0,58,9,18,33.3,Matches,rb leipzig
Lukas Klostermann,de GER,DF,25.0,18.3,1,0,0,9,4,0,3,26,16,0,0,0,101,23,11,67.6,Matches,rb leipzig
Dominik Szoboszlai,hu HUN,"MF,FW",20.0,17.1,2,0,0,15,23,6,91,10,12,0,0,0,101,17,19,47.2,Matches,rb leipzig
Amadou Haidara,ml MLI,MF,23.0,14.7,2,0,0,20,13,0,6,16,14,0,0,0,102,20,19,51.3,Matches,rb leipzig
Konrad Laimer,at AUT,MF,24.0,13.8,2,0,0,37,8,0,14,4,24,0,0,0,96,11,11,50.0,Matches,rb leipzig
Tyler Adams,us USA,MF,22.0,15.0,5,0,0,19,15,0,2,16,7,0,0,0,85,20,10,66.7,Matches,rb leipzig
Benjamin Henrichs,de GER,DF,24.0,12.7,3,0,0,13,14,1,24,19,21,0,1,0,77,6,9,40.0,Matches,rb leipzig
Yussuf Poulsen,dk DEN,"FW,MF",27.0,12.0,2,0,0,22,30,7,9,3,4,1,0,0,42,28,32,46.7,Matches,rb leipzig
Dani Olmo,es ESP,"MF,FW",23.0,8.3,2,0,0,4,22,1,9,4,6,0,0,0,62,3,10,23.1,Matches,rb leipzig
Marcel Halstenberg,de GER,DF,29.0,5.6,0,0,0,4,4,1,6,7,7,0,0,0,35,8,2,80.0,Matches,rb leipzig
Hugo Novoa,es ESP,"MF,FW",18.0,1.5,0,0,0,1,4,1,2,1,4,0,0,0,5,2,3,40.0,Matches,rb leipzig
Brian Brobbey,nl NED,"FW,MF",19.0,1.5,0,0,0,3,2,0,1,0,0,0,0,0,7,4,4,50.0,Matches,rb leipzig
Josep Martinez,es ESP,GK,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches,rb leipzig
Hwang Hee-chan,kr KOR,FW,25.0,0.5,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,50.0,Matches,rb leipzig
Marcel Sabitzer,at AUT,"MF,FW",27.0,0.5,1,0,0,1,0,0,1,1,1,0,0,0,4,0,1,0.0,Matches,rb leipzig
Ilaix Moriba,gn GUI,MF,18.0,0.4,0,0,0,1,3,0,0,1,0,0,0,0,4,0,2,0.0,Matches,rb leipzig
Joscha Wosz,de GER,DF,19.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,rb leipzig
Solomon Bonnah,nl NED,DF,17.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,rb leipzig
Sidney Raebiger,de GER,MF,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,rb leipzig
Rani Khedira,de GER,MF,27.0,30.6,6,0,0,55,35,0,23,50,38,0,0,0,193,39,42,48.1,Matches,union berlin
Taiwo Awoniyi,ng NGA,FW,23.0,24.2,1,0,0,25,23,21,10,2,7,1,0,1,82,54,101,34.8,Matches,union berlin
