Player,Pos,Age,MP,Min,90s,Gls,Ast,CrdY,CrdR,xG,Gls/90,Ast/90,xG/90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Won%,club
Frederik Winther,2,20.0,4,328.0,3.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,17.0,47.6,augsburg
Alfreð Finnbogason,4,32.0,10,292.0,3.2,2.0,1.0,0.0,0.0,1.3,0.62,0.31,0.41,0.0,3.0,1.0,1.0,2.0,2.0,1.0,9.0,50.0,augsburg
Fredrik Jensen,7,23.0,12,418.0,4.6,0.0,1.0,0.0,0.0,0.2,0.0,0.22,0.04,0.0,2.0,3.0,0.0,18.0,2.0,4.0,10.0,33.3,augsburg
Sergio Córdova,7,23.0,13,328.0,3.6,0.0,0.0,2.0,0.0,0.7,0.0,0.0,0.2,0.0,5.0,11.0,5.0,3.0,0.0,3.0,11.0,38.9,augsburg
Konstantinos Mavropanos,2,23.0,31,2705.0,30.1,4.0,0.0,3.0,0.0,2.7,0.13,0.0,0.09,0.0,22.0,20.0,2.0,7.0,69.0,39.0,214.0,77.1,stuttgart
Florian Müller,1,23.0,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,100.0,stuttgart
Waldemar Anton,2,25.0,29,2595.0,28.8,2.0,1.0,6.0,1.0,2.1,0.07,0.03,0.07,0.0,29.0,16.0,1.0,11.0,32.0,26.0,208.0,54.4,stuttgart
Borna Sosa,6,23.0,28,2498.0,27.8,1.0,8.0,4.0,0.0,0.9,0.04,0.29,0.03,0.0,13.0,26.0,0.0,239.0,26.0,12.0,149.0,51.3,stuttgart
Hiroki Ito,2,22.0,29,2348.0,26.1,1.0,1.0,2.0,0.0,0.5,0.04,0.04,0.02,0.0,21.0,9.0,0.0,21.0,53.0,31.0,170.0,51.9,stuttgart
Atakan Karazor,3,24.0,24,1898.0,21.1,0.0,1.0,9.0,1.0,0.3,0.0,0.05,0.01,1.0,38.0,39.0,0.0,3.0,34.0,24.0,142.0,64.0,stuttgart
Orel Mangala,3,23.0,28,1853.0,20.6,1.0,3.0,4.0,0.0,2.1,0.05,0.15,0.1,0.0,26.0,27.0,0.0,9.0,12.0,10.0,110.0,34.5,stuttgart
Chris Führich,7,23.0,25,1714.0,19.0,3.0,2.0,3.0,0.0,3.2,0.16,0.11,0.17,0.0,9.0,19.0,2.0,61.0,8.0,16.0,107.0,20.0,stuttgart
Omar Marmoush,4,22.0,21,1571.0,17.5,3.0,5.0,3.0,0.0,5.1,0.17,0.29,0.29,0.0,33.0,57.0,7.0,44.0,7.0,17.0,81.0,47.5,stuttgart
Sasa Kalajdzic,4,24.0,15,1221.0,13.6,6.0,1.0,2.0,0.0,6.6,0.44,0.07,0.49,0.0,11.0,18.0,2.0,2.0,2.0,6.0,37.0,62.6,stuttgart
Tiago Tomás,4,19.0,14,1075.0,11.9,4.0,0.0,2.0,0.0,4.0,0.33,0.0,0.33,0.0,6.0,25.0,7.0,18.0,4.0,4.0,42.0,23.1,stuttgart
Tanguy Coulibaly,7,20.0,21,1079.0,12.0,0.0,1.0,8.0,0.0,0.8,0.0,0.08,0.07,0.0,24.0,14.0,6.0,14.0,4.0,15.0,57.0,36.4,stuttgart
Philipp Förster,7,26.0,20,967.0,10.7,2.0,1.0,4.0,0.0,2.8,0.19,0.09,0.26,0.0,15.0,9.0,2.0,8.0,3.0,13.0,58.0,47.6,stuttgart
