Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Mattia Zaccagni,it ITA,FW,27-359,35,33,2770.0,30.8,10.0,6.0,16.0,9.0,1.0,1.0,9.0,0.0,6.7,5.9,4.5,10.4,118.0,76.0,282.0,0.32,0.19,0.52,0.29,0.49,0.22,0.15,0.36,0.19,0.34,Matches,lazio
Adam Marušić,me MNE,DF,30-236,33,31,2759.0,30.7,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.7,0.7,1.1,1.8,38.0,116.0,43.0,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06,Matches,lazio
Luis Alberto,es ESP,MF,30-255,35,27,2442.0,27.1,6.0,7.0,13.0,5.0,1.0,2.0,3.0,0.0,4.4,2.7,7.0,9.7,73.0,248.0,94.0,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.1,0.36,Matches,lazio
Nicolò Casale,it ITA,DF,25-116,29,27,2437.0,27.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.3,0.9,11.0,70.0,3.0,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03,Matches,lazio
Ciro Immobile,it ITA,FW,33-110,31,27,2221.0,24.7,12.0,5.0,17.0,8.0,4.0,5.0,3.0,0.0,14.2,10.3,1.9,12.2,40.0,43.0,174.0,0.49,0.2,0.69,0.32,0.53,0.57,0.08,0.65,0.42,0.49,Matches,lazio
Danilo Cataldi,it ITA,MF,28-308,29,26,1923.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.1,1.4,8.0,83.0,14.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,Matches,lazio
Elseid Hysaj,al ALB,DF,29-110,34,22,1998.0,22.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,1.1,1.3,36.0,103.0,60.0,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.06,0.01,0.06,Matches,lazio
Manuel Lazzari,it ITA,DF,29-193,28,22,1879.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.7,1.0,98.0,64.0,74.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,lazio
Pedro,es ESP,FW,35-317,36,17,1896.0,21.1,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,3.4,3.4,2.6,6.1,64.0,52.0,144.0,0.19,0.14,0.33,0.19,0.33,0.16,0.13,0.29,0.16,0.29,Matches,lazio
Matías Vecino,uy URU,MF,31-290,32,17,1690.0,18.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,0.5,3.0,22.0,88.0,17.0,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.16,0.13,0.16,Matches,lazio
